"Country or Area","Year","Item","Value"
"Indonesia","2013","Gross Domestic Product (GDP)","9.546134E+15"
"Indonesia","2012","Final consumption expenditure","5.6551791232341E+15"
"Indonesia","2012","Household consumption expenditure (including Non-profit institutions serving households)","4.85833084731569E+15"
"Indonesia","2012","General government final consumption expenditure","796848275918412"
"Indonesia","2012","Gross capital formation","3.02166486895502E+15"
"Indonesia","2012","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2.81902646758176E+15"
"Indonesia","2012","Changes in inventories","202638401373260"
"Indonesia","2012","Exports of goods and services","2.118979E+15"
"Indonesia","2012","Imports of goods and services","2.152937E+15"
"Indonesia","2012","Gross Domestic Product (GDP)","8.6157045E+15"
"Indonesia","2011","Final consumption expenditure","5.05005620052075E+15"
"Indonesia","2011","Household consumption expenditure (including Non-profit institutions serving households)","4.34060542452075E+15"
"Indonesia","2011","General government final consumption expenditure","709450776000000"
"Indonesia","2011","Gross capital formation","2.58324260379563E+15"
"Indonesia","2011","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2.45191401772031E+15"
"Indonesia","2011","Changes in inventories","131328586075320"
"Indonesia","2011","Exports of goods and services","2.06188615697386E+15"
"Indonesia","2011","Imports of goods and services","1.86807498236952E+15"
"Indonesia","2011","Gross Domestic Product (GDP)","7.831726E+15"
"Indonesia","2010","Final consumption expenditure","4.47699976378269E+15"
"Indonesia","2010","Household consumption expenditure (including Non-profit institutions serving households)","3.85882177178269E+15"
"Indonesia","2010","General government final consumption expenditure","618177992000000"
"Indonesia","2010","Gross capital formation","2.2569353E+15"
"Indonesia","2010","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2.127840682E+15"
"Indonesia","2010","Changes in inventories","129094618000000"
"Indonesia","2010","Exports of goods and services","1.66791782550122E+15"
"Indonesia","2010","Imports of goods and services","1.53771977273428E+15"
"Indonesia","2010","Gross Domestic Product (GDP)","6.8641331E+15"
"Indonesia","2009","Final consumption expenditure","4.05142701465239E+15"
"Indonesia","2009","Household consumption expenditure (including Non-profit institutions serving households)","3.48555730659134E+15"
"Indonesia","2009","General government final consumption expenditure","565869708061054"
"Indonesia","2009","Gross capital formation","1.88182024846735E+15"
"Indonesia","2009","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1.79744530218669E+15"
"Indonesia","2009","Changes in inventories","84374946280660"
"Indonesia","2009","Exports of goods and services","1.4255574541133E+15"
"Indonesia","2009","Imports of goods and services","1.24662590280376E+15"
"Indonesia","2009","Gross Domestic Product (GDP)","5.96907245352223E+15"
"Indonesia","2008","Final consumption expenditure","3.61610901263488E+15"
"Indonesia","2008","Household consumption expenditure (including Non-profit institutions serving households)","3.17731228174855E+15"
"Indonesia","2008","General government final consumption expenditure","438796730886331"
"Indonesia","2008","Gross capital formation","1.49122678899589E+15"
"Indonesia","2008","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1.41243372270415E+15"
"Indonesia","2008","Changes in inventories","78793066291740"
"Indonesia","2008","Exports of goods and services","1.55260814031715E+15"
"Indonesia","2008","Imports of goods and services","1.48177881383225E+15"
"Indonesia","2008","Gross Domestic Product (GDP)","5.26899894022954E+15"
"Indonesia","2007","Final consumption expenditure","3.00603081098085E+15"
"Indonesia","2007","Household consumption expenditure (including Non-profit institutions serving households)","2.65892305223332E+15"
"Indonesia","2007","General government final consumption expenditure","347107758747533"
"Indonesia","2007","Gross capital formation","1.06660438998423E+15"
"Indonesia","2007","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1.01562392858614E+15"
"Indonesia","2007","Changes in inventories","50980461398090"
"Indonesia","2007","Exports of goods and services","1.22406562890791E+15"
"Indonesia","2007","Imports of goods and services","1.04478458630584E+15"
"Indonesia","2007","Gross Domestic Product (GDP)","4.20662010068587E+15"
"Indonesia","2006","Final consumption expenditure","2.51960688715847E+15"
"Indonesia","2006","Household consumption expenditure (including Non-profit institutions serving households)","2.21637202913206E+15"
"Indonesia","2006","General government final consumption expenditure","303234858026414"
"Indonesia","2006","Gross capital formation","918834176671741"
"Indonesia","2006","Gross fixed capital formation (including Acquisitions less disposals of valuables)","830309625184873"
"Indonesia","2006","Changes in inventories","88524551486868"
"Indonesia","2006","Exports of goods and services","1.09075489110897E+15"
"Indonesia","2006","Imports of goods and services","890990278765729"
"Indonesia","2006","Gross Domestic Product (GDP)","3.55535211921901E+15"
"Indonesia","2005","Final consumption expenditure","2.12797569505922E+15"
"Indonesia","2005","Household consumption expenditure (including Non-profit institutions serving households)","1.89115962698197E+15"
"Indonesia","2005","General government final consumption expenditure","236816068077252"
"Indonesia","2005","Gross capital formation","753802375548850"
"Indonesia","2005","Gross fixed capital formation (including Acquisitions less disposals of valuables)","675814686877945"
"Indonesia","2005","Changes in inventories","77987688670905"
"Indonesia","2005","Exports of goods and services","994769676004376"
"Indonesia","2005","Imports of goods and services","864430568141430"
"Indonesia","2005","Gross Domestic Product (GDP)","2.95385019271412E+15"
"Indonesia","2004","Final consumption expenditure","1.82461806811954E+15"
"Indonesia","2004","Household consumption expenditure (including Non-profit institutions serving households)","1.62351159849618E+15"
"Indonesia","2004","General government final consumption expenditure","201106469623364"
"Indonesia","2004","Gross capital formation","598307062267918"
"Indonesia","2004","Gross fixed capital formation (including Acquisitions less disposals of valuables)","531066474868799"
"Indonesia","2004","Changes in inventories","67240587399119"
"Indonesia","2004","Exports of goods and services","778493087534926"
"Indonesia","2004","Imports of goods and services","658542556508264"
"Indonesia","2004","Gross Domestic Product (GDP)","2.44442665283923E+15"
"Indonesia","2003","Final consumption expenditure","1.6255075272063E+15"
"Indonesia","2003","Household consumption expenditure (including Non-profit institutions serving households)","1.4531943045305E+15"
"Indonesia","2003","General government final consumption expenditure","172313222675799"
"Indonesia","2003","Gross capital formation","558417312692244"
"Indonesia","2003","Gross fixed capital formation (including Acquisitions less disposals of valuables)","404742788028955"
"Indonesia","2003","Changes in inventories","153674524663289"
"Indonesia","2003","Exports of goods and services","645959976447799"
"Indonesia","2003","Imports of goods and services","485220588002996"
"Indonesia","2003","Gross Domestic Product (GDP)","2.14401240929534E+15"
"Indonesia","2002","Final consumption expenditure","1.44397181188135E+15"
"Indonesia","2002","Household consumption expenditure (including Non-profit institutions serving households)","1.30479739109859E+15"
"Indonesia","2002","General government final consumption expenditure","139174420782760"
"Indonesia","2002","Gross capital formation","422435218933295"
"Indonesia","2002","Gross fixed capital formation (including Acquisitions less disposals of valuables)","364739722690103"
"Indonesia","2002","Changes in inventories","57695496243192"
"Indonesia","2002","Exports of goods and services","626796762586688"
"Indonesia","2002","Imports of goods and services","500710510724381"
"Indonesia","2002","Gross Domestic Product (GDP)","1.93975402841587E+15"
"Indonesia","2001","Final consumption expenditure","1.22050125524755E+15"
"Indonesia","2001","Household consumption expenditure (including Non-profit institutions serving households)","1.10111868616555E+15"
"Indonesia","2001","General government final consumption expenditure","119382569082004"
"Indonesia","2001","Gross capital formation","401984815893557"
"Indonesia","2001","Gross fixed capital formation (including Acquisitions less disposals of valuables)","333732204155116"
"Indonesia","2001","Changes in inventories","68252611738441"
"Indonesia","2001","Exports of goods and services","676350642654144"
"Indonesia","2001","Imports of goods and services","527381099979674"
"Indonesia","2001","Gross Domestic Product (GDP)","1.75288241590569E+15"
"Indonesia","2000","Final consumption expenditure","1.00300696256594E+15"
"Indonesia","2000","Household consumption expenditure (including Non-profit institutions serving households)","907451624245427"
"Indonesia","2000","General government final consumption expenditure","95555338320517"
"Indonesia","2000","Gross capital formation","334922257351440"
"Indonesia","2000","Gross fixed capital formation (including Acquisitions less disposals of valuables)","284277439375458"
"Indonesia","2000","Changes in inventories","50644817975982"
"Indonesia","2000","Exports of goods and services","599406023594332"
"Indonesia","2000","Imports of goods and services","440833913079993"
"Indonesia","2000","Gross Domestic Product (GDP)","1.4797246345885E+15"
"Indonesia","1999","Final consumption expenditure","970334819892079"
"Indonesia","1999","Household consumption expenditure (including Non-profit institutions serving households)","893883181011737"
"Indonesia","1999","General government final consumption expenditure","76451638880342"
"Indonesia","1999","Gross capital formation","121507954196833"
"Indonesia","1999","Gross fixed capital formation (including Acquisitions less disposals of valuables)","232894797894323"
"Indonesia","1999","Changes in inventories","-111386843697490"
"Indonesia","1999","Exports of goods and services","431137137517684"
"Indonesia","1999","Imports of goods and services","326701080231796"
"Indonesia","1999","Gross Domestic Product (GDP)","1.2864826015843E+15"
"Indonesia","1998","Final consumption expenditure","750937866270743"
"Indonesia","1998","Household consumption expenditure (including Non-profit institutions serving households)","693659398656189"
"Indonesia","1998","General government final consumption expenditure","57278467614554"
"Indonesia","1998","Gross capital formation","173684778157820"
"Indonesia","1998","Gross fixed capital formation (including Acquisitions less disposals of valuables)","250440014709710"
"Indonesia","1998","Changes in inventories","-76755236551890"
"Indonesia","1998","Exports of goods and services","558841202843711"
"Indonesia","1998","Imports of goods and services","430149479785749"
"Indonesia","1998","Gross Domestic Product (GDP)","1.11805706163749E+15"
"Indonesia","1997","Final consumption expenditure","457828811552145"
"Indonesia","1997","Household consumption expenditure (including Non-profit institutions serving households)","412617389525896"
"Indonesia","1997","General government final consumption expenditure","45211422026249"
"Indonesia","1997","Gross capital formation","215905929579121"
"Indonesia","1997","Gross fixed capital formation (including Acquisitions less disposals of valuables)","183093874144532"
"Indonesia","1997","Changes in inventories","32812055434589"
"Indonesia","1997","Exports of goods and services","193039180599280"
"Indonesia","1997","Imports of goods and services","183907340204434"
"Indonesia","1997","Gross Domestic Product (GDP)","734288140363051"
"Indonesia","1996","Final consumption expenditure","398635800521869"
"Indonesia","1996","Household consumption expenditure (including Non-profit institutions serving households)","356216935364582"
"Indonesia","1996","General government final consumption expenditure","42418865157287"
"Indonesia","1996","Gross capital formation","177071223463485"
"Indonesia","1996","Gross fixed capital formation (including Acquisitions less disposals of valuables)","162451169706718"
"Indonesia","1996","Changes in inventories","14620053756767"
"Indonesia","1996","Exports of goods and services","151821958045421"
"Indonesia","1996","Imports of goods and services","146639548676144"
"Indonesia","1996","Gross Domestic Product (GDP)","623005810224279"
"Indonesia","1995","Final consumption expenditure","337622789628698"
"Indonesia","1995","Household consumption expenditure (including Non-profit institutions serving households)","300166949589072"
"Indonesia","1995","General government final consumption expenditure","37455840039626"
"Indonesia","1995","Gross capital formation","157208627596765"
"Indonesia","1995","Gross fixed capital formation (including Acquisitions less disposals of valuables)","133150750364172"
"Indonesia","1995","Changes in inventories","24057877232593"
"Indonesia","1995","Exports of goods and services","132016982153868"
"Indonesia","1995","Imports of goods and services","130856424960751"
"Indonesia","1995","Gross Domestic Product (GDP)","531696931695857"
"Indonesia","1994","Final consumption expenditure","277224633885536"
"Indonesia","1994","Household consumption expenditure (including Non-profit institutions serving households)","244579191467905"
"Indonesia","1994","General government final consumption expenditure","32645442417631"
"Indonesia","1994","Gross capital formation","128598256348329"
"Indonesia","1994","Gross fixed capital formation (including Acquisitions less disposals of valuables)","108588271170632"
"Indonesia","1994","Changes in inventories","20009985177697"
"Indonesia","1994","Exports of goods and services","111859863833833"
"Indonesia","1994","Imports of goods and services","100964713221067"
"Indonesia","1994","Gross Domestic Product (GDP)","447128537422961"
"Indonesia","1993","Final consumption expenditure","233081435916872"
"Indonesia","1993","Household consumption expenditure (including Non-profit institutions serving households)","201759115996145"
"Indonesia","1993","General government final consumption expenditure","31322319920727"
"Indonesia","1993","Gross capital formation","105312382437494"
"Indonesia","1993","Gross fixed capital formation (including Acquisitions less disposals of valuables)","89304710503271"
"Indonesia","1993","Changes in inventories","16007671934223"
"Indonesia","1993","Exports of goods and services","97397738581326"
"Indonesia","1993","Imports of goods and services","81626325295833"
"Indonesia","1993","Gross Domestic Product (GDP)","385777496676515"
"Indonesia","1992","Final consumption expenditure","196908601610522"
"Indonesia","1992","Household consumption expenditure (including Non-profit institutions serving households)","170876666470572"
"Indonesia","1992","General government final consumption expenditure","26031935139950"
"Indonesia","1992","Gross capital formation","93238827436971"
"Indonesia","1992","Gross fixed capital formation (including Acquisitions less disposals of valuables)","74988876990839"
"Indonesia","1992","Changes in inventories","18249950446132"
"Indonesia","1992","Exports of goods and services","86947166887144"
"Indonesia","1992","Imports of goods and services","73397356992915"
"Indonesia","1992","Gross Domestic Product (GDP)","330349238260116"
"Indonesia","1991","Final consumption expenditure","174657622308503"
"Indonesia","1991","Household consumption expenditure (including Non-profit institutions serving households)","152779260257479"
"Indonesia","1991","General government final consumption expenditure","21878362051024"
"Indonesia","1991","Gross capital formation","85446536623264"
"Indonesia","1991","Gross fixed capital formation (including Acquisitions less disposals of valuables)","69541997558987"
"Indonesia","1991","Changes in inventories","15904539064277"
"Indonesia","1991","Exports of goods and services","71184653607200"
"Indonesia","1991","Imports of goods and services","62738854008813"
"Indonesia","1991","Gross Domestic Product (GDP)","292419099158910"
"Indonesia","1990","Final consumption expenditure","149620135998032"
"Indonesia","1990","Household consumption expenditure (including Non-profit institutions serving households)","129990134848667"
"Indonesia","1990","General government final consumption expenditure","19630001149365"
"Indonesia","1990","Gross capital formation","70056951846464"
"Indonesia","1990","Gross fixed capital formation (including Acquisitions less disposals of valuables)","61576734977032"
"Indonesia","1990","Changes in inventories","8480216869432"
"Indonesia","1990","Exports of goods and services","58957915243962"
"Indonesia","1990","Imports of goods and services","52116799251818"
"Indonesia","1990","Gross Domestic Product (GDP)","246674584003051"
"Indonesia","1989","Final consumption expenditure","121373493096510"
"Indonesia","1989","Household consumption expenditure (including Non-profit institutions serving households)","104849724634784"
"Indonesia","1989","General government final consumption expenditure","16523768461726"
"Indonesia","1989","Gross capital formation","63351226817013"
"Indonesia","1989","Gross fixed capital formation (including Acquisitions less disposals of valuables)","49157932307211"
"Indonesia","1989","Changes in inventories","14193294509802"
"Indonesia","1989","Exports of goods and services","48145266068456"
"Indonesia","1989","Imports of goods and services","40034732654696"
"Indonesia","1989","Gross Domestic Product (GDP)","210078036024944"
"Indonesia","1988","Final consumption expenditure","110779097474599"
"Indonesia","1988","Household consumption expenditure (including Non-profit institutions serving households)","97352088269746"
"Indonesia","1988","General government final consumption expenditure","13427009204853"
"Indonesia","1988","Gross capital formation","46767827988120"
"Indonesia","1988","Gross fixed capital formation (including Acquisitions less disposals of valuables)","39523365018559"
"Indonesia","1988","Changes in inventories","7244462969561"
"Indonesia","1988","Exports of goods and services","39282095039346"
"Indonesia","1988","Imports of goods and services","32872135339146"
"Indonesia","1988","Gross Domestic Product (GDP)","175085306844881"
"Indonesia","1987","Final consumption expenditure","90493874990481"
"Indonesia","1987","Household consumption expenditure (including Non-profit institutions serving households)","78111048376661"
"Indonesia","1987","General government final consumption expenditure","12382826613820"
"Indonesia","1987","Gross capital formation","42407481745221"
"Indonesia","1987","Gross fixed capital formation (including Acquisitions less disposals of valuables)","31922876428068"
"Indonesia","1987","Changes in inventories","10484605317153"
"Indonesia","1987","Exports of goods and services","32977752064224"
"Indonesia","1987","Imports of goods and services","29112761057504"
"Indonesia","1987","Gross Domestic Product (GDP)","146013020361314"
"Indonesia","1986","Final consumption expenditure","80667744692235"
"Indonesia","1986","Household consumption expenditure (including Non-profit institutions serving households)","68742800565410"
"Indonesia","1986","General government final consumption expenditure","11924944126825"
"Indonesia","1986","Gross capital formation","31443242161524"
"Indonesia","1986","Gross fixed capital formation (including Acquisitions less disposals of valuables)","25536240272446"
"Indonesia","1986","Changes in inventories","5907001889078"
"Indonesia","1986","Exports of goods and services","22088934150269"
"Indonesia","1986","Imports of goods and services","21906425869425"
"Indonesia","1986","Gross Domestic Product (GDP)","120120295871242"
"Indonesia","1985","Final consumption expenditure","73531464567025"
"Indonesia","1985","Household consumption expenditure (including Non-profit institutions serving households)","62065455530614"
"Indonesia","1985","General government final consumption expenditure","11466009036411"
"Indonesia","1985","Gross capital formation","29470524022812"
"Indonesia","1985","Gross fixed capital formation (including Acquisitions less disposals of valuables)","23047739737462"
"Indonesia","1985","Changes in inventories","6422784285350"
"Indonesia","1985","Exports of goods and services","23771269764712"
"Indonesia","1985","Imports of goods and services","20655730990685"
"Indonesia","1985","Gross Domestic Product (GDP)","113468717690590"
"Indonesia","1984","Final consumption expenditure","68266784033475"
"Indonesia","1984","Household consumption expenditure (including Non-profit institutions serving households)","58664935651015"
"Indonesia","1984","General government final consumption expenditure","9601848382460"
"Indonesia","1984","Gross capital formation","25503421428651"
"Indonesia","1984","Gross fixed capital formation (including Acquisitions less disposals of valuables)","20748839243240"
"Indonesia","1984","Changes in inventories","4754582185411"
"Indonesia","1984","Exports of goods and services","25388475588307"
"Indonesia","1984","Imports of goods and services","20666144769859"
"Indonesia","1984","Gross Domestic Product (GDP)","105148980789289"
"Indonesia","1983","Final consumption expenditure","59567183200672"
"Indonesia","1983","Household consumption expenditure (including Non-profit institutions serving households)","51065305390418"
"Indonesia","1983","General government final consumption expenditure","8501877810254"
"Indonesia","1983","Gross capital formation","24116777157618"
"Indonesia","1983","Gross fixed capital formation (including Acquisitions less disposals of valuables)","20060508660478"
"Indonesia","1983","Changes in inventories","4056268497140"
"Indonesia","1983","Exports of goods and services","21908999304367"
"Indonesia","1983","Imports of goods and services","20438083005958"
"Indonesia","1983","Gross Domestic Product (GDP)","90804687498548"
"Indonesia","1982","Final consumption expenditure","48737329693998"
"Indonesia","1982","Household consumption expenditure (including Non-profit institutions serving households)","41149111650898"
"Indonesia","1982","General government final consumption expenditure","7588218043100"
"Indonesia","1982","Gross capital formation","18855112138547"
"Indonesia","1982","Gross fixed capital formation (including Acquisitions less disposals of valuables)","16303542635406"
"Indonesia","1982","Changes in inventories","2551569503141"
"Indonesia","1982","Exports of goods and services","16672122562294"
"Indonesia","1982","Imports of goods and services","15814365052914"
"Indonesia","1982","Gross Domestic Product (GDP)","73085472812946"
"Indonesia","1981","Final consumption expenditure","41830640545715"
"Indonesia","1981","Household consumption expenditure (including Non-profit institutions serving households)","35039243290329"
"Indonesia","1981","General government final consumption expenditure","6791397255386"
"Indonesia","1981","Gross capital formation","18768446871608"
"Indonesia","1981","Gross fixed capital formation (including Acquisitions less disposals of valuables)","14565198783432"
"Indonesia","1981","Changes in inventories","4203248088176"
"Indonesia","1981","Exports of goods and services","17857705534677"
"Indonesia","1981","Imports of goods and services","14703214815099"
"Indonesia","1981","Gross Domestic Product (GDP)","67997939659999"
"Indonesia","1980","Final consumption expenditure","34776499607946"
"Indonesia","1980","Household consumption expenditure (including Non-profit institutions serving households)","29841894782582"
"Indonesia","1980","General government final consumption expenditure","4934604825364"
"Indonesia","1980","Gross capital formation","10275250711527"
"Indonesia","1980","Gross fixed capital formation (including Acquisitions less disposals of valuables)","9773676014210"
"Indonesia","1980","Changes in inventories","501574697317"
"Indonesia","1980","Exports of goods and services","15287838533087"
"Indonesia","1980","Imports of goods and services","10497089406912"
"Indonesia","1980","Gross Domestic Product (GDP)","53163493140680"
"Indonesia","1979","Final consumption expenditure","25102867262310"
"Indonesia","1979","Household consumption expenditure (including Non-profit institutions serving households)","21173498701498"
"Indonesia","1979","General government final consumption expenditure","3929368560812"
"Indonesia","1979","Gross capital formation","7262549369539"
"Indonesia","1979","Gross fixed capital formation (including Acquisitions less disposals of valuables)","6908036267714"
"Indonesia","1979","Changes in inventories","354513101825"
"Indonesia","1979","Exports of goods and services","10629402645324"
"Indonesia","1979","Imports of goods and services","7867610165597"
"Indonesia","1979","Gross Domestic Product (GDP)","37463382208121"
"Indonesia","1978","Final consumption expenditure","19275226788040"
"Indonesia","1978","Household consumption expenditure (including Non-profit institutions serving households)","16476354298568"
"Indonesia","1978","General government final consumption expenditure","2798872489472"
"Indonesia","1978","Gross capital formation","5060168273436"
"Indonesia","1978","Gross fixed capital formation (including Acquisitions less disposals of valuables)","4813161904309"
"Indonesia","1978","Changes in inventories","247006369127"
"Indonesia","1978","Exports of goods and services","5490772536903"
"Indonesia","1978","Imports of goods and services","4938214084085"
"Indonesia","1978","Gross Domestic Product (GDP)","26608652356157"
"Indonesia","1977","Final consumption expenditure","15703703585886"
"Indonesia","1977","Household consumption expenditure (including Non-profit institutions serving households)","13517446285911"
"Indonesia","1977","General government final consumption expenditure","2186257299975"
"Indonesia","1977","Gross capital formation","4144766391386"
"Indonesia","1977","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3942444325816"
"Indonesia","1977","Changes in inventories","202322065570"
"Indonesia","1977","Exports of goods and services","4929993998756"
"Indonesia","1977","Imports of goods and services","3974939510534"
"Indonesia","1977","Gross Domestic Product (GDP)","22239386702844"
"Indonesia","1976","Final consumption expenditure","13145750164718"
"Indonesia","1976","Household consumption expenditure (including Non-profit institutions serving households)","11471058126076"
"Indonesia","1976","General government final consumption expenditure","1674692038642"
"Indonesia","1976","Gross capital formation","3472027256768"
"Indonesia","1976","Gross fixed capital formation (including Acquisitions less disposals of valuables)","3302544188249"
"Indonesia","1976","Changes in inventories","169483068519"
"Indonesia","1976","Exports of goods and services","3997202926443"
"Indonesia","1976","Imports of goods and services","3667733024915"
"Indonesia","1976","Gross Domestic Product (GDP)","18093556053490"
"Indonesia","1975","Final consumption expenditure","10793461517784"
"Indonesia","1975","Household consumption expenditure (including Non-profit institutions serving households)","9473496831136"
"Indonesia","1975","General government final consumption expenditure","1319964686648"
"Indonesia","1975","Gross capital formation","2786288332108"
"Indonesia","1975","Gross fixed capital formation (including Acquisitions less disposals of valuables)","2650278830632"
"Indonesia","1975","Changes in inventories","136009501476"
"Indonesia","1975","Exports of goods and services","3197983120106"
"Indonesia","1975","Imports of goods and services","2928354703595"
"Indonesia","1975","Gross Domestic Product (GDP)","14789993481882"
"Indonesia","1974","Final consumption expenditure","8853783825774"
"Indonesia","1974","Household consumption expenditure (including Non-profit institutions serving households)","7968544350917"
"Indonesia","1974","General government final consumption expenditure","885239474857"
"Indonesia","1974","Gross capital formation","1946718558631"
"Indonesia","1974","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1851691702429"
"Indonesia","1974","Changes in inventories","95026856202"
"Indonesia","1974","Exports of goods and services","3361359544606"
"Indonesia","1974","Imports of goods and services","2413914012423"
"Indonesia","1974","Gross Domestic Product (GDP)","12526398022937"
"Indonesia","1973","Final consumption expenditure","5966203135497"
"Indonesia","1973","Household consumption expenditure (including Non-profit institutions serving households)","5212539087937"
"Indonesia","1973","General government final consumption expenditure","753664047560"
"Indonesia","1973","Gross capital formation","1308645530788"
"Indonesia","1973","Gross fixed capital formation (including Acquisitions less disposals of valuables)","1244765484994"
"Indonesia","1973","Changes in inventories","63880045794"
"Indonesia","1973","Exports of goods and services","1496881294741"
"Indonesia","1973","Imports of goods and services","1386074007996"
"Indonesia","1973","Gross Domestic Product (GDP)","7899772679202"
"Indonesia","1972","Final consumption expenditure","4026179947179"
"Indonesia","1972","Household consumption expenditure (including Non-profit institutions serving households)","3590402131970"
"Indonesia","1972","General government final consumption expenditure","435777815209"
"Indonesia","1972","Gross capital formation","928401672090"
"Indonesia","1972","Gross fixed capital formation (including Acquisitions less disposals of valuables)","883082798543"
"Indonesia","1972","Changes in inventories","45318873547"
"Indonesia","1972","Exports of goods and services","841167807222"
"Indonesia","1972","Imports of goods and services","810192019700"
"Indonesia","1972","Gross Domestic Product (GDP)","5339043759496"
"Indonesia","1971","Final consumption expenditure","3449135792821"
"Indonesia","1971","Household consumption expenditure (including Non-profit institutions serving households)","3090198027153"
"Indonesia","1971","General government final consumption expenditure","358937765668"
"Indonesia","1971","Gross capital formation","628323185312"
"Indonesia","1971","Gross fixed capital formation (including Acquisitions less disposals of valuables)","597652302398"
"Indonesia","1971","Changes in inventories","30670882914"
"Indonesia","1971","Exports of goods and services","581752538590"
"Indonesia","1971","Imports of goods and services","649819820428"
"Indonesia","1971","Gross Domestic Product (GDP)","4295567196510"
"Indonesia","1970","Final consumption expenditure","3106734680808"
"Indonesia","1970","Household consumption expenditure (including Non-profit institutions serving households)","2798321879223"
"Indonesia","1970","General government final consumption expenditure","308412801585"
"Indonesia","1970","Gross capital formation","492908705719"
"Indonesia","1970","Gross fixed capital formation (including Acquisitions less disposals of valuables)","468847926881"
"Indonesia","1970","Changes in inventories","24060778838"
"Indonesia","1970","Exports of goods and services","479090325898"
"Indonesia","1970","Imports of goods and services","544640650775"
"Indonesia","1970","Gross Domestic Product (GDP)","3787866716312"
"Japan","2021","Final consumption expenditure","408084600000000"
"Japan","2021","Household consumption expenditure (including Non-profit institutions serving households)","291933000000000"
"Japan","2021","General government final consumption expenditure","116151600000000"
"Japan","2021","Gross capital formation","137071300000000"
"Japan","2021","Gross fixed capital formation (including Acquisitions less disposals of valuables)","137521400000000"
"Japan","2021","Changes in inventories","-450100000000"
"Japan","2021","Exports of goods and services","99930100000000"
"Japan","2021","Imports of goods and services","102775100000000"
"Japan","2021","Gross Domestic Product (GDP)","542282700000000"
"Japan","2020","Final consumption expenditure","402683900000000"
"Japan","2020","Household consumption expenditure (including Non-profit institutions serving households)","289498700000000"
"Japan","2020","General government final consumption expenditure","113185200000000"
"Japan","2020","Gross capital formation","136771700000000"
"Japan","2020","Gross fixed capital formation (including Acquisitions less disposals of valuables)","136497700000000"
"Japan","2020","Changes in inventories","274000000000"
"Japan","2020","Exports of goods and services","83729200000000"
"Japan","2020","Imports of goods and services","85029400000000"
"Japan","2020","Gross Domestic Product (GDP)","538155400000000"
"Japan","2019","Final consumption expenditure","415922200000000"
"Japan","2019","Household consumption expenditure (including Non-profit institutions serving households)","304634100000000"
"Japan","2019","General government final consumption expenditure","111288100000000"
"Japan","2019","Gross capital formation","144183500000000"
"Japan","2019","Gross fixed capital formation (including Acquisitions less disposals of valuables)","142822200000000"
"Japan","2019","Changes in inventories","1361300000000"
"Japan","2019","Exports of goods and services","97430900000000"
"Japan","2019","Imports of goods and services","99045300000000"
"Japan","2019","Gross Domestic Product (GDP)","558491200000000"
"Japan","2018","Final consumption expenditure","413799400000000"
"Japan","2018","Household consumption expenditure (including Non-profit institutions serving households)","304901600000000"
"Japan","2018","General government final consumption expenditure","108897800000000"
"Japan","2018","Gross capital formation","142383300000000"
"Japan","2018","Gross fixed capital formation (including Acquisitions less disposals of valuables)","140301300000000"
"Japan","2018","Changes in inventories","2082000000000"
"Japan","2018","Exports of goods and services","101946500000000"
"Japan","2018","Imports of goods and services","101835400000000"
"Japan","2018","Gross Domestic Product (GDP)","556293800000000"
"Japan","2017","Final consumption expenditure","409415000000000"
"Japan","2017","Household consumption expenditure (including Non-profit institutions serving households)","302053600000000"
"Japan","2017","General government final consumption expenditure","107361400000000"
"Japan","2017","Gross capital formation","139456400000000"
"Japan","2017","Gross fixed capital formation (including Acquisitions less disposals of valuables)","138308900000000"
"Japan","2017","Changes in inventories","1147500000000"
"Japan","2017","Exports of goods and services","97293500000000"
"Japan","2017","Imports of goods and services","93092000000000"
"Japan","2017","Gross Domestic Product (GDP)","553073000000000"
"Japan","2016","Final consumption expenditure","404782700000000"
"Japan","2016","Household consumption expenditure (including Non-profit institutions serving households)","297775600000000"
"Japan","2016","General government final consumption expenditure","107007100000000"
"Japan","2016","Gross capital formation","135196200000000"
"Japan","2016","Gross fixed capital formation (including Acquisitions less disposals of valuables)","134788400000000"
"Japan","2016","Changes in inventories","407800000000"
"Japan","2016","Exports of goods and services","87413900000000"
"Japan","2016","Imports of goods and services","83028000000000"
"Japan","2016","Gross Domestic Product (GDP)","544364600000000"
"Japan","2015","Final consumption expenditure","405614700000000"
"Japan","2015","Household consumption expenditure (including Non-profit institutions serving households)","300064900000000"
"Japan","2015","General government final consumption expenditure","105549800000000"
"Japan","2015","Gross capital formation","135397700000000"
"Japan","2015","Gross fixed capital formation (including Acquisitions less disposals of valuables)","134354500000000"
"Japan","2015","Changes in inventories","1043200000000"
"Japan","2015","Exports of goods and services","93815400000000"
"Japan","2015","Imports of goods and services","96795500000000"
"Japan","2015","Gross Domestic Product (GDP)","538032300000000"
"Japan","2014","Final consumption expenditure","402378300000000"
